docId,title,authorId,authorName,voteid,round1Score,round1Rank,round2Score,round2Rank,round3Score,round3Rank,final,competitionId
4689c400f235b3befbbd7e6c4ea8ba97,Bellasylva,tristenchang,Tristen Chang,46510,5.0,21,4.47,5,4.17,1,1,294
7ac7f8afd546eecff8fdebda069766cc,Final Notice,jshortino,John Shortino,46754,5.17,17,4.12,14,4.14,2,2,294
1c050184a992b720ab3436cf8aeb98e6,The Woodpecker Problem,chrisbelden,Chris Belden,46486,5.33,10,4.53,4,4.08,3,3,294
71083bd05871f813ce027907bf022164,The Sixties,danielbryant,Daniel C. Bryant,46320,5.6,5,4.78,1,4.0,5,5,294
1e7603ca1414592181c7bb16f14811c9,Phoenix,afiaatakora,Afia Atakora,46419,5.17,16,4.17,13,3.76,7,7,294
e9eb30a2b3772651e831081e853f5418,Yemaya,pricklypear,Sabra Waldfogel,46400,4.83,27,4.0,16,3.65,9,9,294
e836efcc731ff1e8898300959a9c399f,Of Wolves and Men,rickast4p,Rick Kast,46720,5.25,12,3.94,20,3.45,14,14,294
f13c86f9931e45fbd2f45725f4f1dd69,Holy Orders,charlesalden,Charles Alden,46408,4.83,28,4.44,6,3.3,17,17,294
d9812627b062bc0be44be386d3be28d8,Birthday Bash,juliezuckerman,Julie Zuckerman,46619,4.17,74,3.94,24,3.16,18,18,294
91a93cddfa6d481ad351f610f18d414b,The Fourth Monkey,kshaver22,Kathryn Shaver,46519,4.5,45,4.06,15,3.1,19,19,294
0a5d95688c2984cc0384e6e4b1fb516f,The Goatherd of Naxos,chiphouser,Chip Houser,46501,5.33,11,4.28,10,3.02,20,20,294
91edb553f6d7abd80440e53bcde724e3,Rondo in White,brondeau,Brian Rondeau,46699,5.5,6,3.94,21,2.98,22,22,294
00183689bc74a9fc44a95ee61ffb11da,Suddenly Salad,gmackinney,Gordon MacKinney,46439,4.33,61,3.81,26,2.52,23,23,294
8c76e634f7de9d2613345e56369314a9,"All Night Long with the Thump, Thump, Thump",choffman,Coby Hoffman,46816,4.83,30,4.35,8,-1.0,24,24,294
db05da1b5b009d1067fc55c16ddfc60d,the remains,roselynperez,roselyn perez,46387,4.2,70,3.71,29,-1.0,29,29,294
072b720130f33b9fa076866809912c2e,"1,000 Colors",hunterfreiburg,Hunter Freiburg,46818,5.2,15,3.67,31,-1.0,31,31,294
