,id,location_str,location,length_str,length,start,end,label
0,f9d6d0599b203f7600e1047aa9d67dfb,beginning,1,control,0,0,3017,1
1,f9d6d0599b203f7600e1047aa9d67dfb,beginning,1,one_sentence,1,0,94,1
2,f9d6d0599b203f7600e1047aa9d67dfb,beginning,1,few_sentences,2,0,258,1
3,f9d6d0599b203f7600e1047aa9d67dfb,beginning,1,paragraph,3,0,1046,1
4,f9d6d0599b203f7600e1047aa9d67dfb,middle,0,control,0,8147,11305,1
5,f9d6d0599b203f7600e1047aa9d67dfb,middle,0,one_sentence,1,8420,8459,1
6,f9d6d0599b203f7600e1047aa9d67dfb,middle,0,few_sentences,2,3260,3411,1
7,f9d6d0599b203f7600e1047aa9d67dfb,middle,0,paragraph,3,5555,6749,1
8,f9d6d0599b203f7600e1047aa9d67dfb,middle,0,control,0,6099,9337,1
9,f9d6d0599b203f7600e1047aa9d67dfb,middle,0,one_sentence,1,3311,3389,1
10,f9d6d0599b203f7600e1047aa9d67dfb,middle,0,few_sentences,2,3647,3859,1
11,f9d6d0599b203f7600e1047aa9d67dfb,middle,0,paragraph,3,3586,4650,1
12,f9d6d0599b203f7600e1047aa9d67dfb,middle,0,control,0,4218,7387,1
13,f9d6d0599b203f7600e1047aa9d67dfb,middle,0,one_sentence,1,3818,3859,1
14,f9d6d0599b203f7600e1047aa9d67dfb,middle,0,few_sentences,2,5039,5253,1
15,f9d6d0599b203f7600e1047aa9d67dfb,middle,0,paragraph,3,3598,4650,1
16,360eb95d8475c76d201069a6285ffcb3,beginning,1,control,0,0,3074,0
17,360eb95d8475c76d201069a6285ffcb3,beginning,1,one_sentence,1,0,143,0
18,360eb95d8475c76d201069a6285ffcb3,beginning,1,few_sentences,2,0,455,0
19,360eb95d8475c76d201069a6285ffcb3,beginning,1,paragraph,3,0,1642,0
20,360eb95d8475c76d201069a6285ffcb3,middle,0,control,0,11931,14932,0
21,360eb95d8475c76d201069a6285ffcb3,middle,0,one_sentence,1,16392,16484,0
22,360eb95d8475c76d201069a6285ffcb3,middle,0,few_sentences,2,16392,16614,0
23,360eb95d8475c76d201069a6285ffcb3,middle,0,paragraph,3,8155,9328,0
24,360eb95d8475c76d201069a6285ffcb3,middle,0,control,0,11592,14611,0
25,360eb95d8475c76d201069a6285ffcb3,middle,0,one_sentence,1,15564,15625,0
26,360eb95d8475c76d201069a6285ffcb3,middle,0,few_sentences,2,5572,5984,0
27,360eb95d8475c76d201069a6285ffcb3,middle,0,paragraph,3,9555,11228,0
28,360eb95d8475c76d201069a6285ffcb3,middle,0,control,0,9028,11970,0
29,360eb95d8475c76d201069a6285ffcb3,middle,0,one_sentence,1,11719,11816,0
30,360eb95d8475c76d201069a6285ffcb3,middle,0,few_sentences,2,7756,8154,0
31,360eb95d8475c76d201069a6285ffcb3,middle,0,paragraph,3,11340,12473,0
32,7bd5e8994bc73ca67d535ccd9dd4baae,beginning,1,control,0,0,2821,1
33,7bd5e8994bc73ca67d535ccd9dd4baae,beginning,1,one_sentence,1,0,86,1
34,7bd5e8994bc73ca67d535ccd9dd4baae,beginning,1,few_sentences,2,0,184,1
35,7bd5e8994bc73ca67d535ccd9dd4baae,beginning,1,paragraph,3,0,1045,1
36,7bd5e8994bc73ca67d535ccd9dd4baae,middle,0,control,0,7146,9981,1
37,7bd5e8994bc73ca67d535ccd9dd4baae,middle,0,one_sentence,1,9031,9124,1
38,7bd5e8994bc73ca67d535ccd9dd4baae,middle,0,few_sentences,2,9714,9918,1
39,7bd5e8994bc73ca67d535ccd9dd4baae,middle,0,paragraph,3,5665,6592,1
40,7bd5e8994bc73ca67d535ccd9dd4baae,middle,0,control,0,11912,14821,1
41,7bd5e8994bc73ca67d535ccd9dd4baae,middle,0,one_sentence,1,14352,14398,1
42,7bd5e8994bc73ca67d535ccd9dd4baae,middle,0,few_sentences,2,9125,9274,1
43,7bd5e8994bc73ca67d535ccd9dd4baae,middle,0,paragraph,3,12254,13234,1
44,7bd5e8994bc73ca67d535ccd9dd4baae,middle,0,control,0,10566,13477,1
45,7bd5e8994bc73ca67d535ccd9dd4baae,middle,0,one_sentence,1,7802,7868,1
46,7bd5e8994bc73ca67d535ccd9dd4baae,middle,0,few_sentences,2,6779,6940,1
47,7bd5e8994bc73ca67d535ccd9dd4baae,middle,0,paragraph,3,9570,10741,1
48,9d2584c59b57249e3c643942aa930fa6,beginning,1,control,0,0,2883,1
49,9d2584c59b57249e3c643942aa930fa6,beginning,1,one_sentence,1,0,163,1
50,9d2584c59b57249e3c643942aa930fa6,beginning,1,few_sentences,2,0,270,1
51,9d2584c59b57249e3c643942aa930fa6,beginning,1,paragraph,3,0,854,1
52,9d2584c59b57249e3c643942aa930fa6,middle,0,control,0,2408,5394,1
53,9d2584c59b57249e3c643942aa930fa6,middle,0,one_sentence,1,5091,5170,1
54,9d2584c59b57249e3c643942aa930fa6,middle,0,few_sentences,2,6750,6903,1
55,9d2584c59b57249e3c643942aa930fa6,middle,0,paragraph,3,3438,4398,1
56,9d2584c59b57249e3c643942aa930fa6,middle,0,control,0,2623,5559,1
57,9d2584c59b57249e3c643942aa930fa6,middle,0,one_sentence,1,3407,3437,1
58,9d2584c59b57249e3c643942aa930fa6,middle,0,few_sentences,2,4965,5090,1
59,9d2584c59b57249e3c643942aa930fa6,middle,0,paragraph,3,7052,8266,1
60,9d2584c59b57249e3c643942aa930fa6,middle,0,control,0,5456,8387,1
61,9d2584c59b57249e3c643942aa930fa6,middle,0,one_sentence,1,3476,3506,1
62,9d2584c59b57249e3c643942aa930fa6,middle,0,few_sentences,2,2982,3120,1
63,9d2584c59b57249e3c643942aa930fa6,middle,0,paragraph,3,3994,5026,1
64,5336f76b0ed04b2b91ec87eb1be9cf0c,beginning,1,control,0,0,3081,0
65,5336f76b0ed04b2b91ec87eb1be9cf0c,beginning,1,one_sentence,1,0,79,0
66,5336f76b0ed04b2b91ec87eb1be9cf0c,beginning,1,few_sentences,2,0,343,0
67,5336f76b0ed04b2b91ec87eb1be9cf0c,beginning,1,paragraph,3,0,1241,0
68,5336f76b0ed04b2b91ec87eb1be9cf0c,middle,0,control,0,19470,22443,0
69,5336f76b0ed04b2b91ec87eb1be9cf0c,middle,0,one_sentence,1,11811,12030,0
70,5336f76b0ed04b2b91ec87eb1be9cf0c,middle,0,few_sentences,2,8642,8886,0
71,5336f76b0ed04b2b91ec87eb1be9cf0c,middle,0,paragraph,3,9224,10281,0
72,5336f76b0ed04b2b91ec87eb1be9cf0c,middle,0,control,0,16170,19115,0
73,5336f76b0ed04b2b91ec87eb1be9cf0c,middle,0,one_sentence,1,9631,10179,0
74,5336f76b0ed04b2b91ec87eb1be9cf0c,middle,0,few_sentences,2,19712,20229,0
75,5336f76b0ed04b2b91ec87eb1be9cf0c,middle,0,paragraph,3,18532,20038,0
76,5336f76b0ed04b2b91ec87eb1be9cf0c,middle,0,control,0,20381,23359,0
77,5336f76b0ed04b2b91ec87eb1be9cf0c,middle,0,one_sentence,1,15445,15585,0
78,5336f76b0ed04b2b91ec87eb1be9cf0c,middle,0,few_sentences,2,13969,14383,0
79,5336f76b0ed04b2b91ec87eb1be9cf0c,middle,0,paragraph,3,10488,11810,0
80,dc6d66cc2de160d8d728591a911aa196,beginning,1,control,0,0,3189,0
81,dc6d66cc2de160d8d728591a911aa196,beginning,1,one_sentence,1,0,125,0
82,dc6d66cc2de160d8d728591a911aa196,beginning,1,few_sentences,2,0,324,0
83,dc6d66cc2de160d8d728591a911aa196,beginning,1,paragraph,3,0,1327,0
84,dc6d66cc2de160d8d728591a911aa196,middle,0,control,0,4233,6347,0
85,dc6d66cc2de160d8d728591a911aa196,middle,0,one_sentence,1,2967,2994,0
86,dc6d66cc2de160d8d728591a911aa196,middle,0,few_sentences,2,3190,3396,0
87,dc6d66cc2de160d8d728591a911aa196,middle,0,paragraph,3,2024,2994,0
88,dc6d66cc2de160d8d728591a911aa196,middle,0,control,0,3523,6347,0
89,dc6d66cc2de160d8d728591a911aa196,middle,0,one_sentence,1,3620,3713,0
90,dc6d66cc2de160d8d728591a911aa196,middle,0,few_sentences,2,4120,4448,0
91,dc6d66cc2de160d8d728591a911aa196,middle,0,paragraph,3,2568,3713,0
92,dc6d66cc2de160d8d728591a911aa196,middle,0,control,0,4292,6347,0
93,dc6d66cc2de160d8d728591a911aa196,middle,0,one_sentence,1,2603,2674,0
94,dc6d66cc2de160d8d728591a911aa196,middle,0,few_sentences,2,3117,3365,0
95,dc6d66cc2de160d8d728591a911aa196,middle,0,paragraph,3,2878,3799,0
96,fabed06df2a0de7ac09a9f8f404edd5b,beginning,1,control,0,0,3057,1
97,fabed06df2a0de7ac09a9f8f404edd5b,beginning,1,one_sentence,1,0,117,1
98,fabed06df2a0de7ac09a9f8f404edd5b,beginning,1,few_sentences,2,0,381,1
99,fabed06df2a0de7ac09a9f8f404edd5b,beginning,1,paragraph,3,0,1082,1
100,fabed06df2a0de7ac09a9f8f404edd5b,middle,0,control,0,7425,10413,1
101,fabed06df2a0de7ac09a9f8f404edd5b,middle,0,one_sentence,1,19270,19410,1
102,fabed06df2a0de7ac09a9f8f404edd5b,middle,0,few_sentences,2,12217,12459,1
103,fabed06df2a0de7ac09a9f8f404edd5b,middle,0,paragraph,3,17397,18474,1
104,fabed06df2a0de7ac09a9f8f404edd5b,middle,0,control,0,14830,17803,1
105,fabed06df2a0de7ac09a9f8f404edd5b,middle,0,one_sentence,1,12057,12097,1
106,fabed06df2a0de7ac09a9f8f404edd5b,middle,0,few_sentences,2,10414,10533,1
107,fabed06df2a0de7ac09a9f8f404edd5b,middle,0,paragraph,3,20005,20914,1
108,fabed06df2a0de7ac09a9f8f404edd5b,middle,0,control,0,7951,10933,1
109,fabed06df2a0de7ac09a9f8f404edd5b,middle,0,one_sentence,1,13619,13693,1
110,fabed06df2a0de7ac09a9f8f404edd5b,middle,0,few_sentences,2,12382,12487,1
111,fabed06df2a0de7ac09a9f8f404edd5b,middle,0,paragraph,3,13282,14281,1
112,499325cce26acb894a13676614efc66e,beginning,1,control,0,0,2860,-1
113,499325cce26acb894a13676614efc66e,beginning,1,one_sentence,1,0,41,-1
114,499325cce26acb894a13676614efc66e,beginning,1,few_sentences,2,0,292,-1
115,499325cce26acb894a13676614efc66e,beginning,1,paragraph,3,0,997,-1
